from,to,files,text,fileReason,textReason
"json-format","json-format","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","base64-codec","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","markdown-preview","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","yaml-json","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","csv-json","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","text-diff","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","file-metadata","false","false","""JSON Formatter"" does not produce files.","""File Metadata Viewer"" does not accept text."
"json-format","image-preview","false","false","""JSON Formatter"" does not produce files.","""Image Preview"" does not accept text."
"json-format","qr-generator","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","regex-tester","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","jwt-decoder","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","timestamp-converter","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","hash-generator","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","url-utils","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","uuid-generator","false","false","""JSON Formatter"" does not produce files.","""UUID Generator"" does not accept text."
"json-format","qr-decoder","false","false","""JSON Formatter"" does not produce files.","""QR Decoder"" does not accept text."
"json-format","passphrase-generator","false","false","""JSON Formatter"" does not produce files.","""Passphrase Generator"" does not accept text."
"json-format","prompt-library","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","sql-formatter","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","cron-explainer","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","text-cases","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","html-entities","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","mime-lookup","false","false","""JSON Formatter"" does not produce files.","""MIME Type Lookup"" does not accept text."
"json-format","http-status","false","false","""JSON Formatter"" does not produce files.","""HTTP Status Codes"" does not accept text."
"json-format","image-convert","false","false","""JSON Formatter"" does not produce files.","""Image Converter"" does not accept text."
"json-format","image-compress","false","false","""JSON Formatter"" does not produce files.","""Image Compressor"" does not accept text."
"json-format","zip-create","false","false","""JSON Formatter"" does not produce files.","""ZIP Creator"" does not accept text."
"json-format","zip-extract","false","false","""JSON Formatter"" does not produce files.","""ZIP & Archive Extractor"" does not accept text."
"json-format","batch-rename","false","false","""JSON Formatter"" does not produce files.","""Batch Rename"" does not accept text."
"json-format","pdf-merge","false","false","""JSON Formatter"" does not produce files.","""PDF Merger"" does not accept text."
"json-format","pdf-split","false","false","""JSON Formatter"" does not produce files.","""PDF Splitter"" does not accept text."
"json-format","pdf-preview","false","false","""JSON Formatter"" does not produce files.","""PDF Preview"" does not accept text."
"json-format","pdf-rotate","false","false","""JSON Formatter"" does not produce files.","""PDF Rotator"" does not accept text."
"json-format","pdf-compress","false","false","""JSON Formatter"" does not produce files.","""PDF Optimizer"" does not accept text."
"json-format","pdf-reorder","false","false","""JSON Formatter"" does not produce files.","""PDF Page Reorderer"" does not accept text."
"json-format","images-to-pdf","false","false","""JSON Formatter"" does not produce files.","""Images → PDF"" does not accept text."
"json-format","pdf-to-images","false","false","""JSON Formatter"" does not produce files.","""PDF → Images"" does not accept text."
"json-format","image-exif","false","false","""JSON Formatter"" does not produce files.","""EXIF Inspector"" does not accept text."
"json-format","video-convert","false","false","""JSON Formatter"" does not produce files.","""Video Converter"" does not accept text."
"json-format","video-compress","false","false","""JSON Formatter"" does not produce files.","""Video Compressor"" does not accept text."
"json-format","video-to-gif","false","false","""JSON Formatter"" does not produce files.","""Video → GIF"" does not accept text."
"json-format","extract-audio","false","false","""JSON Formatter"" does not produce files.","""Audio Extractor"" does not accept text."
"json-format","audio-convert","false","false","""JSON Formatter"" does not produce files.","""Audio Converter"" does not accept text."
"json-format","color-converter","false","false","""JSON Formatter"" does not produce files.","""Color Converter"" does not accept text."
"json-format","brand-bible","false","false","""JSON Formatter"" does not produce files.","""Brand Bible Creator"" does not accept text."
"json-format","json-to-types","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","image-watermark","false","false","""JSON Formatter"" does not produce files.","""Image Watermarker"" does not accept text."
"json-format","icon-pack","false","false","""JSON Formatter"" does not produce files.","""Icon Pack Generator"" does not accept text."
"json-format","social-resizer","false","false","""JSON Formatter"" does not produce files.","""Social Preset Resizer"" does not accept text."
"json-format","pdf-to-text","false","false","""JSON Formatter"" does not produce files.","""PDF → Text"" does not accept text."
"json-format","image-ocr","false","false","""JSON Formatter"" does not produce files.","""Image OCR Extractor"" does not accept text."
"json-format","archive-inspect","false","false","""JSON Formatter"" does not produce files.","""Archive Inspector"" does not accept text."
"json-format","svg-creator","false","false","""JSON Formatter"" does not produce files.","""SVG & Vector Studio"" does not accept text."
"json-format","ascii-banner","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","image-to-ascii","false","false","""JSON Formatter"" does not produce files.","""Image → ASCII Art Converter"" does not accept text."
"json-format","ascii-table","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","xml-json","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","text-analyzer","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","curl-converter","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","json-schema","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","chmod-calculator","false","false","""JSON Formatter"" does not produce files.","""Chmod & Unix Permission Calculator"" does not accept text."
"json-format","keypair-generator","false","false","""JSON Formatter"" does not produce files.","""Cryptographic Keypair Generator"" does not accept text."
"json-format","semver-calculator","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","image-palette","false","false","""JSON Formatter"" does not produce files.","""Image Color Palette & Swatch Extractor"" does not accept text."
"json-format","image-slicer","false","false","""JSON Formatter"" does not produce files.","""Image Slicer & Grid Splitter"" does not accept text."
"json-format","image-grid","false","false","""JSON Formatter"" does not produce files.","""Contact Sheet & Collage Grid Builder"" does not accept text."
"json-format","gradient-studio","false","false","""JSON Formatter"" does not produce files.","""CSS & Vector Gradient Studio"" does not accept text."
"json-format","pdf-numberer","false","false","""JSON Formatter"" does not produce files.","""PDF Page Numberer & Bates Stamper"" does not accept text."
"json-format","pdf-watermark","false","false","""JSON Formatter"" does not produce files.","""PDF Watermarker & Stamp Applier"" does not accept text."
"json-format","markdown-to-pdf","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","duplicate-finder","false","false","""JSON Formatter"" does not produce files.","""Duplicate File & Hash Matcher"" does not accept text."
"json-format","folder-analyzer","false","false","""JSON Formatter"" does not produce files.","""Disk Space & Folder Tree Analyzer"" does not accept text."
"json-format","checksum-verifier","false","false","""JSON Formatter"" does not produce files.","""File Checksum Signature Verifier"" does not accept text."
"json-format","audio-trimmer","false","false","""JSON Formatter"" does not produce files.","""Audio Waveform Visualizer & Trimmer"" does not accept text."
"json-format","audio-normalize","false","false","""JSON Formatter"" does not produce files.","""Audio Loudness & Volume Normalizer"" does not accept text."
"json-format","id-photo-maker","false","false","""JSON Formatter"" does not produce files.","""ID & Passport Photo Studio"" does not accept text."
"json-format","token-counter","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"json-format","local-llm-playground","false","true","""JSON Formatter"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","json-format","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","base64-codec","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","markdown-preview","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","yaml-json","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","csv-json","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","text-diff","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","file-metadata","false","false","""Base64 Encoder / Decoder"" does not produce files.","""File Metadata Viewer"" does not accept text."
"base64-codec","image-preview","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image Preview"" does not accept text."
"base64-codec","qr-generator","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","regex-tester","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","jwt-decoder","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","timestamp-converter","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","hash-generator","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","url-utils","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","uuid-generator","false","false","""Base64 Encoder / Decoder"" does not produce files.","""UUID Generator"" does not accept text."
"base64-codec","qr-decoder","false","false","""Base64 Encoder / Decoder"" does not produce files.","""QR Decoder"" does not accept text."
"base64-codec","passphrase-generator","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Passphrase Generator"" does not accept text."
"base64-codec","prompt-library","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","sql-formatter","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","cron-explainer","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","text-cases","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","html-entities","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","mime-lookup","false","false","""Base64 Encoder / Decoder"" does not produce files.","""MIME Type Lookup"" does not accept text."
"base64-codec","http-status","false","false","""Base64 Encoder / Decoder"" does not produce files.","""HTTP Status Codes"" does not accept text."
"base64-codec","image-convert","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image Converter"" does not accept text."
"base64-codec","image-compress","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image Compressor"" does not accept text."
"base64-codec","zip-create","false","false","""Base64 Encoder / Decoder"" does not produce files.","""ZIP Creator"" does not accept text."
"base64-codec","zip-extract","false","false","""Base64 Encoder / Decoder"" does not produce files.","""ZIP & Archive Extractor"" does not accept text."
"base64-codec","batch-rename","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Batch Rename"" does not accept text."
"base64-codec","pdf-merge","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Merger"" does not accept text."
"base64-codec","pdf-split","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Splitter"" does not accept text."
"base64-codec","pdf-preview","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Preview"" does not accept text."
"base64-codec","pdf-rotate","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Rotator"" does not accept text."
"base64-codec","pdf-compress","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Optimizer"" does not accept text."
"base64-codec","pdf-reorder","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Page Reorderer"" does not accept text."
"base64-codec","images-to-pdf","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Images → PDF"" does not accept text."
"base64-codec","pdf-to-images","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF → Images"" does not accept text."
"base64-codec","image-exif","false","false","""Base64 Encoder / Decoder"" does not produce files.","""EXIF Inspector"" does not accept text."
"base64-codec","video-convert","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Video Converter"" does not accept text."
"base64-codec","video-compress","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Video Compressor"" does not accept text."
"base64-codec","video-to-gif","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Video → GIF"" does not accept text."
"base64-codec","extract-audio","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Audio Extractor"" does not accept text."
"base64-codec","audio-convert","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Audio Converter"" does not accept text."
"base64-codec","color-converter","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Color Converter"" does not accept text."
"base64-codec","brand-bible","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Brand Bible Creator"" does not accept text."
"base64-codec","json-to-types","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","image-watermark","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image Watermarker"" does not accept text."
"base64-codec","icon-pack","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Icon Pack Generator"" does not accept text."
"base64-codec","social-resizer","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Social Preset Resizer"" does not accept text."
"base64-codec","pdf-to-text","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF → Text"" does not accept text."
"base64-codec","image-ocr","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image OCR Extractor"" does not accept text."
"base64-codec","archive-inspect","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Archive Inspector"" does not accept text."
"base64-codec","svg-creator","false","false","""Base64 Encoder / Decoder"" does not produce files.","""SVG & Vector Studio"" does not accept text."
"base64-codec","ascii-banner","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","image-to-ascii","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image → ASCII Art Converter"" does not accept text."
"base64-codec","ascii-table","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","xml-json","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","text-analyzer","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","curl-converter","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","json-schema","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","chmod-calculator","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Chmod & Unix Permission Calculator"" does not accept text."
"base64-codec","keypair-generator","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Cryptographic Keypair Generator"" does not accept text."
"base64-codec","semver-calculator","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","image-palette","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image Color Palette & Swatch Extractor"" does not accept text."
"base64-codec","image-slicer","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Image Slicer & Grid Splitter"" does not accept text."
"base64-codec","image-grid","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Contact Sheet & Collage Grid Builder"" does not accept text."
"base64-codec","gradient-studio","false","false","""Base64 Encoder / Decoder"" does not produce files.","""CSS & Vector Gradient Studio"" does not accept text."
"base64-codec","pdf-numberer","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Page Numberer & Bates Stamper"" does not accept text."
"base64-codec","pdf-watermark","false","false","""Base64 Encoder / Decoder"" does not produce files.","""PDF Watermarker & Stamp Applier"" does not accept text."
"base64-codec","markdown-to-pdf","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","duplicate-finder","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Duplicate File & Hash Matcher"" does not accept text."
"base64-codec","folder-analyzer","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Disk Space & Folder Tree Analyzer"" does not accept text."
"base64-codec","checksum-verifier","false","false","""Base64 Encoder / Decoder"" does not produce files.","""File Checksum Signature Verifier"" does not accept text."
"base64-codec","audio-trimmer","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Audio Waveform Visualizer & Trimmer"" does not accept text."
"base64-codec","audio-normalize","false","false","""Base64 Encoder / Decoder"" does not produce files.","""Audio Loudness & Volume Normalizer"" does not accept text."
"base64-codec","id-photo-maker","false","false","""Base64 Encoder / Decoder"" does not produce files.","""ID & Passport Photo Studio"" does not accept text."
"base64-codec","token-counter","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"base64-codec","local-llm-playground","false","true","""Base64 Encoder / Decoder"" does not produce files.","Compatible text ports; content validation still required"
"markdown-preview","json-format","false","true","""Markdown Preview"" does not produce files.","Compatible text ports; content validation still required"
"markdown-preview","base64-codec","false","true","""Markdown Preview"" does not produce files.","Compatible text ports; content validation still required"
"markdown-preview","markdown-preview","false","true","""Markdown Preview"" does not produce files.","Compatible text ports; content validation still required"
"markdown-preview","yaml-json","false","true","""Markdown Preview"" does not produce files.","Compatible text ports; content validation still required"
"markdown-preview","csv-json","false","true","""Markdown Preview"" does not produce files.","Compatible text ports; content validation still required"
