id,input,output,acceptsText,producesText
json-format,-,-,true,true
base64-codec,-,-,true,true
markdown-preview,-,-,true,true
yaml-json,-,-,true,true
csv-json,-,-,true,true
text-diff,-,-,true,true
file-metadata,any,-,false,false
image-preview,image,-,false,false
qr-generator,-,image,true,false
regex-tester,-,-,true,true
jwt-decoder,-,-,true,true
timestamp-converter,-,-,true,true
hash-generator,any,-,true,true
url-utils,-,-,true,true
uuid-generator,-,-,false,true
qr-decoder,image,-,false,true
passphrase-generator,-,-,false,true
prompt-library,-,-,true,true
sql-formatter,-,-,true,true
cron-explainer,-,-,true,false
text-cases,-,-,true,true
html-entities,-,-,true,true
mime-lookup,-,-,false,false
http-status,-,-,false,false
image-convert,image,image,false,false
image-compress,image,image,false,false
zip-create,any,archive,false,false
zip-extract,archive,any,false,false
batch-rename,-,-,false,false
pdf-merge,document,document,false,false
pdf-split,document,document,false,false
pdf-preview,document,-,false,false
pdf-rotate,document,document,false,false
pdf-compress,document,document,false,false
pdf-reorder,document,document,false,false
images-to-pdf,image,document,false,false
pdf-to-images,document,archive,false,false
image-exif,image,-,false,false
video-convert,video,video,false,false
video-compress,video,video,false,false
video-to-gif,video,image,false,false
extract-audio,video,audio,false,false
audio-convert,audio,audio,false,false
color-converter,-,-,false,true
brand-bible,-,-,false,true
json-to-types,-,-,true,true
image-watermark,image,image,false,false
icon-pack,image,image,false,false
social-resizer,image,image,false,false
pdf-to-text,document,-,false,true
image-ocr,image,-,false,true
archive-inspect,archive,any,false,false
svg-creator,-,image,false,true
ascii-banner,-,-,true,true
image-to-ascii,image,-,false,true
ascii-table,-,-,true,true
xml-json,-,-,true,true
text-analyzer,-,-,true,true
curl-converter,-,-,true,true
json-schema,-,-,true,true
chmod-calculator,-,-,false,true
keypair-generator,-,-,false,true
semver-calculator,-,-,true,true
image-palette,image,-,false,true
image-slicer,image,any,false,false
image-grid,image,image,false,false
gradient-studio,-,image,false,true
pdf-numberer,document,document,false,false
pdf-watermark,document,document,false,false
markdown-to-pdf,-,document,true,false
duplicate-finder,any,-,false,true
folder-analyzer,any,-,false,true
checksum-verifier,any,-,false,true
audio-trimmer,audio,audio,false,false
audio-normalize,audio,audio,false,false
id-photo-maker,image,any,false,false
token-counter,textfile,-,true,true
local-llm-playground,-,-,true,true
